GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
infro,com.tp.tp4,Foo,3,34,0,6,1,10,1,4,1,1
infro,com.tp.tp2,ProductNotFoundException,0,3,0,0,0,2,0,1,0,1
infro,com.tp.tp2,ShoppingCart,0,53,0,4,0,17,0,8,0,6
infro,com.tp.tp2,Product,2,27,1,1,1,9,1,4,0,4
infro,com.tp.tp2,Calculatrice,0,93,1,13,0,18,1,9,0,3
infro,com.tp.tp5.exception,TooMuchResultException,9,0,0,0,4,0,2,0,2,0
infro,com.tp.tp5.exception,ErreurPersistance,9,0,0,0,4,0,2,0,2,0
infro,com.tp.tp1,PorteMonnaie,3,18,0,0,1,5,1,2,1,2
infro,com.tp.tp1,SommeArgent,2,49,1,5,1,11,1,8,0,6
infro,com.tp.tp5,ModeleVoiture,38,0,0,0,16,0,11,0,11,0
infro,com.tp.tp5,CritereRerchercheModeleVoiture,17,0,0,0,7,0,5,0,5,0
infro,com.tp.tp5,ProgrammeVoiture,58,0,2,0,18,0,7,0,6,0
